iter	Passed	Remaining
1423	61242	36255
1424	61283	36211
1425	61328	36169
1426	61369	36124
1427	61414	36083
1428	61456	36039
1429	61498	35995
1430	61537	35950
1431	61581	35908
1432	61620	35862
1433	61657	35816
1434	61699	35772
1435	61743	35730
1436	61784	35686
1437	61827	35643
1438	61872	35601
1439	61915	35558
1440	61958	35515
1441	62006	35475
1442	62049	35432
1443	62090	35387
1444	62132	35344
1445	62178	35303
1446	62219	35259
1447	62263	35216
1448	62307	35174
1449	62348	35130
1450	62392	35087
1451	62436	35045
1452	62478	35001
1453	62521	34958
1454	62563	34914
1455	62607	34872
1456	62649	34828
1457	62690	34785
1458	62737	34744
1459	62780	34701
1460	62838	34666
1461	62878	34621
1462	62924	34580
1463	62965	34536
1464	63007	34492
1465	63050	34450
1466	63089	34404
1467	63134	34362
1468	63170	34315
1469	63216	34274
1470	63257	34230
1471	63298	34186
1472	63342	34144
1473	63384	34100
1474	63425	34056
1475	63472	34015
1476	63519	33974
1477	63562	33931
1478	63602	33886
1479	63645	33843
1480	63686	33800
1481	63722	33753
1482	63763	33709
1483	63807	33666
1484	63849	33622
1485	63892	33580
1486	63937	33537
1487	63977	33493
1488	64016	33448
1489	64060	33405
1490	64099	33361
1491	64140	33316
1492	64171	33267
1493	64202	33218
1494	64247	33176
1495	64287	33132
1496	64328	33088
1497	64366	33042
1498	64408	32999
1499	64453	32957
1500	64493	32912
1501	64537	32870
1502	64576	32825
1503	64615	32780
1504	64661	32738
1505	64705	32696
1506	64745	32651
1507	64784	32606
1508	64829	32564
1509	64869	32520
1510	64912	32477
1511	64958	32436
1512	65009	32397
1513	65052	32354
1514	65094	32310
1515	65133	32265
1516	65171	32220
1517	65217	32179
1518	65262	32137
1519	65303	32093
1520	65346	32050
1521	65388	32007
1522	65428	31962
1523	65468	31918
1524	65511	31875
1525	65553	31831
1526	65594	31787
1527	65635	31743
1528	65681	31702
1529	65725	31660
1530	65769	31617
1531	65810	31573
1532	65851	31529
1533	65891	31485
1534	65932	31441
1535	65990	31405
1536	66034	31362
1537	66074	31318
1538	66118	31276
1539	66159	31232
1540	66201	31189
1541	66242	31144
1542	66285	31102
1543	66329	31059
1544	66373	31017
1545	66419	30975
1546	66462	30932
1547	66502	30888
1548	66548	30846
1549	66586	30801
1550	66626	30757
1551	66667	30713
1552	66714	30672
1553	66755	30628
1554	66795	30584
1555	66837	30540
1556	66882	30498
1557	66920	30453
1558	66962	30410
1559	67007	30368
1560	67055	30327
1561	67096	30283
1562	67139	30240
1563	67191	30201
1564	67249	30165
1565	67293	30123
1566	67340	30081
1567	67384	30039
1568	67430	29997
1569	67474	29955
1570	67514	29910
1571	67556	29867
1572	67604	29826
1573	67645	29782
1574	67686	29739
1575	67726	29694
1576	67770	29652
1577	67807	29606
1578	67847	29562
1579	67890	29519
1580	67931	29475
1581	67972	29432
1582	68015	29388
1583	68060	29346
1584	68103	29303
1585	68145	29260
1586	68188	29217
1587	68229	29173
1588	68271	29130
1589	68310	29085
1590	68346	29039
1591	68390	28997
1592	68429	28952
1593	68471	28909
1594	68514	28866
1595	68557	28823
1596	68599	28780
1597	68647	28738
1598	68689	28695
1599	68722	28648
1600	68762	28604
1601	68806	28562
1602	68847	28518
1603	68889	28474
1604	68929	28430
1605	68972	28387
1606	69013	28344
1607	69055	28300
1608	69097	28257
1609	69146	28216
1610	69187	28173
1611	69233	28131
1612	69278	28089
1613	69319	28045
1614	69361	28002
1615	69407	27960
1616	69458	27920
1617	69507	27880
1618	69555	27839
1619	69597	27795
1620	69639	27752
1621	69687	27711
1622	69730	27668
1623	69770	27624
1624	69816	27582
1625	69858	27539
1626	69899	27495
1627	69942	27452
1628	69983	27409
1629	70023	27365
1630	70065	27321
1631	70109	27279
1632	70150	27235
1633	70195	27193
1634	70239	27150
1635	70286	27109
1636	70328	27065
1637	70370	27022
1638	70413	26979
1639	70455	26936
1640	70498	26893
1641	70541	26850
1642	70582	26806
1643	70624	26763
1644	70663	26719
1645	70706	26676
1646	70749	26633
1647	70790	26589
1648	70832	26546
1649	70876	26503
1650	70918	26460
1651	70961	26417
1652	71004	26374
1653	71043	26329
1654	71084	26286
1655	71133	26245
1656	71175	26202
1657	71215	26158
1658	71258	26115
